,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itacoatiara, AM, Brasil",2024-06-17,34.7,22.5,27.8,37.7,22.5,29.4,21.4,69.9,0.4,100.0,8.33,rain,0,0,28.4,7.2,77.5,1009.8,63.2,24.1,208.1,18.0,9,30,2024-06-17T05:56:43,2024-06-17T17:53:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,remote
1,"Itacoatiara, AM, Brasil",2024-06-18,35.2,23.8,28.6,37.4,23.8,29.8,20.8,64.8,0.0,16.1,0.0,,0,0,18.7,7.9,86.2,1008.5,47.6,24.1,227.9,19.8,9,30,2024-06-18T05:56:56,2024-06-18T17:53:19,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Itacoatiara, AM, Brasil",2024-06-19,34.8,23.4,28.1,37.3,23.4,29.6,21.3,68.6,0.0,12.9,0.0,,0,0,18.7,9.4,63.6,1008.8,33.0,24.1,247.0,21.3,9,30,2024-06-19T05:57:09,2024-06-19T17:53:31,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Itacoatiara, AM, Brasil",2024-06-20,34.6,23.7,27.6,38.2,23.7,29.0,21.8,72.5,0.4,48.4,8.33,rain,0,0,29.2,9.7,48.6,1008.9,64.4,24.1,207.3,17.8,9,30,2024-06-20T05:57:22,2024-06-20T17:53:44,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
4,"Itacoatiara, AM, Brasil",2024-06-21,34.0,22.7,27.0,37.6,22.7,28.4,22.4,78.4,1.0,41.9,16.67,rain,0,0,23.0,9.0,41.8,1009.5,34.5,23.9,223.3,19.3,9,60,2024-06-21T05:57:35,2024-06-21T17:53:58,0.5,Partially cloudy,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day,
5,"Itacoatiara, AM, Brasil",2024-06-22,33.5,23.0,27.4,37.3,23.0,29.1,22.5,76.0,0.4,38.7,12.5,rain,0,0,22.3,9.4,49.6,1009.9,42.7,24.1,227.8,19.5,9,30,2024-06-22T05:57:48,2024-06-22T17:54:11,0.52,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
6,"Itacoatiara, AM, Brasil",2024-06-23,33.9,23.0,27.7,37.4,23.0,29.5,22.4,75.1,3.5,32.3,16.67,rain,0,0,19.1,9.0,45.3,1010.5,47.7,22.1,235.5,20.4,8,60,2024-06-23T05:58:01,2024-06-23T17:54:24,0.56,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,
7,"Itacoatiara, AM, Brasil",2024-06-24,34.5,23.4,27.9,37.4,23.4,29.4,21.5,70.2,0.5,45.2,4.17,rain,0,0,12.6,6.1,94.1,1011.0,39.5,22.8,220.4,18.9,8,30,2024-06-24T05:58:14,2024-06-24T17:54:37,0.59,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
