,datetime,description,icon
0,2024-06-17,Partly cloudy throughout the day with storms possible.,rain
1,2024-06-18,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-06-19,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-06-20,Partly cloudy throughout the day with storms possible.,rain
4,2024-06-21,Becoming cloudy in the afternoon with storms possible.,partly-cloudy-day
5,2024-06-22,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
6,2024-06-23,Partly cloudy throughout the day with storms possible.,partly-cloudy-day
7,2024-06-24,Becoming cloudy in the afternoon with storms possible.,rain
