,datetime,tempmin,temp,tempmax
0,2024-06-17,22.5,27.8,34.7
1,2024-06-18,23.8,28.6,35.2
2,2024-06-19,23.4,28.1,34.8
3,2024-06-20,23.7,27.6,34.6
4,2024-06-21,22.7,27.0,34.0
5,2024-06-22,23.0,27.4,33.5
6,2024-06-23,23.0,27.7,33.9
7,2024-06-24,23.4,27.9,34.5
